"a","b","ind_a","ind_b","stim_a","stim_b","same_label","r"
"GSM5695306_204088100082_R07C01","GSM5695320_204281260063_R01C01","SFA_1","SFA_1","U","U",TRUE,0.373049905975051
"GSM5695306_204088100082_R07C01","GSM5695321_204273120073_R04C01","SFA_1","MFA_4","U","S",FALSE,0.185242494452347
"GSM5695306_204088100082_R07C01","GSM5695322_204088100053_R06C01","SFA_1","MFA_4","U","U",FALSE,0.167622829224959
"GSM5695306_204088100082_R07C01","GSM5695323_204273120066_R02C01","SFA_1","MFA_5","U","S",FALSE,0.258492189827486
"GSM5695306_204088100082_R07C01","GSM5695324_204273120074_R08C01","SFA_1","MFA_5","U","U",FALSE,0.261608946226223
"GSM5695306_204088100082_R07C01","GSM5695325_204273120068_R02C01","SFA_1","NA_1","U","S",FALSE,0.240466958780953
"GSM5695306_204088100082_R07C01","GSM5695326_204281260060_R01C01","SFA_1","NA_1","U","U",FALSE,0.228978391668302
"GSM5695306_204088100082_R07C01","GSM5695327_204281260060_R07C01","SFA_1","NA_2","U","S",FALSE,0.276355005741358
"GSM5695306_204088100082_R07C01","GSM5695328_204281260061_R05C01","SFA_1","NA_2","U","U",FALSE,0.251762822848829
"GSM5695306_204088100082_R07C01","GSM5695329_204088100082_R02C01","SFA_1","MFA_6","U","S",FALSE,0.217801477394593
"GSM5695306_204088100082_R07C01","GSM5695330_204281260061_R04C01","SFA_1","MFA_6","U","U",FALSE,0.226429183893875
"GSM5695306_204088100082_R07C01","GSM5695331_204281260060_R06C01","SFA_1","MFA_7","U","S",FALSE,0.163196879789672
"GSM5695306_204088100082_R07C01","GSM5695332_204273120066_R08C01","SFA_1","MFA_7","U","U",FALSE,0.142458081337807
"GSM5695306_204088100082_R07C01","GSM5695333_204088100053_R02C01","SFA_1","NA_3","U","S",FALSE,0.0515760807525669
"GSM5695306_204088100082_R07C01","GSM5695334_204281260063_R08C01","SFA_1","NA_3","U","U",FALSE,0.0526993458371544
"GSM5695306_204088100082_R07C01","GSM5695335_204088100053_R05C01","SFA_1","NA_4","U","S",FALSE,0.313734736905374
"GSM5695306_204088100082_R07C01","GSM5695336_204273120005_R07C01","SFA_1","NA_4","U","U",FALSE,0.305576989537081
"GSM5695306_204088100082_R07C01","GSM5695337_204088100082_R04C01","SFA_1","NA_5","U","S",FALSE,0.251333346565679
"GSM5695306_204088100082_R07C01","GSM5695338_204088100071_R01C01","SFA_1","NA_5","U","U",FALSE,0.247441348432755
"GSM5695306_204088100082_R07C01","GSM5695339_204281260043_R04C01","SFA_1","MFA_8","U","S",FALSE,0.20626450904094
"GSM5695306_204088100082_R07C01","GSM5695340_204273120074_R05C01","SFA_1","MFA_8","U","U",FALSE,0.224738868563005
"GSM5695306_204088100082_R07C01","GSM5695341_204281260060_R05C01","SFA_1","NA_6","U","S",FALSE,0.306943335737156
"GSM5695306_204088100082_R07C01","GSM5695342_204281260063_R02C01","SFA_1","SFA_5","U","S",FALSE,0.238286668779852
"GSM5695306_204088100082_R07C01","GSM5695343_204273120068_R04C01","SFA_1","SFA_1","U","U",TRUE,0.272120420175681
"GSM5695306_204088100082_R07C01","GSM5695344_204088100053_R01C01","SFA_1","MFA_9","U","S",FALSE,0.105843107891312
"GSM5695306_204088100082_R07C01","GSM5695345_204088100053_R03C01","SFA_1","MFA_9","U","U",FALSE,0.0957373057372042
"GSM5695306_204088100082_R07C01","GSM5695346_204273120074_R07C01","SFA_1","MFA_10","U","S",FALSE,0.361343415946121
"GSM5695306_204088100082_R07C01","GSM5695347_204281260061_R08C01","SFA_1","MFA_10","U","U",FALSE,0.367295586601395
"GSM5695306_204088100082_R07C01","GSM5695348_204281260061_R02C01","SFA_1","NA_7","U","S",FALSE,0.339315720124225
"GSM5695306_204088100082_R07C01","GSM5695349_204281260060_R04C01","SFA_1","NA_7","U","U",FALSE,0.347095171008195
"GSM5695306_204088100082_R07C01","GSM5695350_204088100071_R02C01","SFA_1","NA_8","U","S",FALSE,0.429062882615575
"GSM5695306_204088100082_R07C01","GSM5695351_204273120074_R03C01","SFA_1","NA_8","U","U",FALSE,0.391879337983149
"GSM5695306_204088100082_R07C01","GSM5695352_204088100053_R07C01","SFA_1","MFA_11","U","S",FALSE,0.212210333541193
"GSM5695306_204088100082_R07C01","GSM5695353_204273120074_R02C01","SFA_1","MFA_11","U","U",FALSE,0.219517400679508
"GSM5695306_204088100082_R07C01","GSM5695354_204273120066_R03C01","SFA_1","SFA_6","U","S",FALSE,0.191647694471085
"GSM5695306_204088100082_R07C01","GSM5695355_204273120068_R06C01","SFA_1","SFA_6","U","U",FALSE,0.198479090201026
"GSM5695306_204088100082_R07C01","GSM5695356_204273120068_R05C01","SFA_1","NA_9","U","S",FALSE,0.227457582261065
"GSM5695306_204088100082_R07C01","GSM5695357_204273120066_R06C01","SFA_1","NA_9","U","U",FALSE,0.226049319503892
"GSM5695306_204088100082_R07C01","GSM5695358_204273120005_R05C01","SFA_1","MFA_12","U","S",FALSE,0.345450525899414
"GSM5695306_204088100082_R07C01","GSM5695359_204273120074_R01C01","SFA_1","MFA_12","U","U",FALSE,0.356133062240186
"GSM5695306_204088100082_R07C01","GSM5695360_204273120005_R06C01","SFA_1","SFA_7","U","U",FALSE,0.213797980590332
"GSM5695306_204088100082_R07C01","GSM5695361_204281260043_R01C01","SFA_1","SFA_8","U","S",FALSE,0.284697322109269
"GSM5695306_204088100082_R07C01","GSM5695362_204088100071_R08C01","SFA_1","SFA_8","U","U",FALSE,0.271456346445825
"GSM5695306_204088100082_R07C01","GSM5695363_204281260060_R03C01","SFA_1","NA_10","U","S",FALSE,0.261442816977083
"GSM5695306_204088100082_R07C01","GSM5695364_204281260043_R08C01","SFA_1","NA_10","U","U",FALSE,0.290693135158567
"GSM5695306_204088100082_R07C01","GSM5695365_204088100053_R04C01","SFA_1","NA_11","U","S",FALSE,0.167769317272103
"GSM5695306_204088100082_R07C01","GSM5695366_204088100071_R06C01","SFA_1","NA_11","U","U",FALSE,0.173061676177477
"GSM5695306_204088100082_R07C01","GSM5695367_204281260061_R06C01","SFA_1","SFA_9","U","S",FALSE,0.236104487632031
"GSM5695306_204088100082_R07C01","GSM5695368_204281260043_R05C01","SFA_1","SFA_9","U","U",FALSE,0.234753348242959
"GSM5695306_204088100082_R07C01","GSM5695369_204273120066_R07C01","SFA_1","SFA_10","U","S",FALSE,0.0518780987668098
"GSM5695306_204088100082_R07C01","GSM5695370_204281260063_R07C01","SFA_1","NA_12","U","S",FALSE,0.270618734271328
"GSM5695306_204088100082_R07C01","GSM5695371_204281260061_R03C01","SFA_1","NA_13","U","S",FALSE,0.46205073788147
"GSM5695306_204088100082_R07C01","GSM5695372_204273120073_R05C01","SFA_1","NA_13","U","U",FALSE,0.456603020685211
"GSM5695306_204088100082_R07C01","GSM5695373_204281260043_R07C01","SFA_1","SFA_11","U","S",FALSE,0.28530693588649
"GSM5695306_204088100082_R07C01","GSM5695374_204281260043_R03C01","SFA_1","SFA_11","U","U",FALSE,0.277068360967984
"GSM5695306_204088100082_R07C01","GSM5695375_204088100071_R05C01","SFA_1","NA_14","U","S",FALSE,0.0626242676980232
"GSM5695306_204088100082_R07C01","GSM5695376_204281260063_R03C01","SFA_1","NA_14","U","U",FALSE,0.0545808880114509
"GSM5695306_204088100082_R07C01","GSM5695377_204273120073_R03C01","SFA_1","NA_15","U","S",FALSE,0.144316658361227
"GSM5695306_204088100082_R07C01","GSM5695378_204273120068_R01C01","SFA_1","NA_15","U","U",FALSE,0.145209424902356
"GSM5695306_204088100082_R07C01","GSM5695379_204088100071_R07C01","SFA_1","MFA_13","U","S",FALSE,0.242889636274632
"GSM5695306_204088100082_R07C01","GSM5695380_204273120068_R03C01","SFA_1","MFA_13","U","U",FALSE,0.235735721495726
"GSM5695306_204088100082_R07C01","GSM5695381_204273120066_R05C01","SFA_1","NA_16","U","S",FALSE,-0.0933821248795578
"GSM5695306_204088100082_R07C01","GSM5695382_204088100082_R03C01","SFA_1","NA_16","U","U",FALSE,-0.0971747694297832
"GSM5695306_204088100082_R07C01","GSM5695383_204281260043_R06C01","SFA_1","MFA_14","U","S",FALSE,0.313550863458517
"GSM5695306_204088100082_R07C01","GSM5695384_204281260063_R06C01","SFA_1","MFA_14","U","U",FALSE,0.316713759326876
"GSM5695306_204088100082_R07C01","GSM5695385_204281260063_R04C01","SFA_1","SFA_12","U","S",FALSE,0.143345855329483
"GSM5695306_204088100082_R07C01","GSM5695386_204273120074_R04C01","SFA_1","SFA_12","U","U",FALSE,0.135020112551333
"GSM5695306_204088100082_R07C01","GSM5695387_204273120073_R01C01","SFA_1","NA_17","U","S",FALSE,-0.0929034725500883
"GSM5695306_204088100082_R07C01","GSM5695388_204281260063_R05C01","SFA_1","NA_17","U","U",FALSE,-0.0821138175427041
"GSM5695306_204088100082_R07C01","GSM5695389_204088100082_R06C01","SFA_1","SFA_13","U","S",FALSE,0.200558041904451
"GSM5695306_204088100082_R07C01","GSM5695390_204273120066_R01C01","SFA_1","SFA_13","U","U",FALSE,0.208574058697793
"GSM5695306_204088100082_R07C01","GSM5695391_204281260043_R02C01","SFA_1","MFA_15","U","S",FALSE,0.207991309187422
"GSM5695306_204088100082_R07C01","GSM5695392_204273120073_R06C01","SFA_1","MFA_15","U","U",FALSE,0.174319585865719
"GSM5695307_204088100053_R08C01","GSM5695308_204088100082_R05C01","SFA_2","SFA_2","S","U",TRUE,0.995574704686773
"GSM5695307_204088100053_R08C01","GSM5695309_204088100071_R03C01","SFA_2","MFA_1","S","S",FALSE,0.241654401133834
"GSM5695307_204088100053_R08C01","GSM5695310_204281260061_R01C01","SFA_2","MFA_1","S","U",FALSE,0.231518534555887
"GSM5695307_204088100053_R08C01","GSM5695311_204281260060_R02C01","SFA_2","MFA_2","S","S",FALSE,0.19284324157753
"GSM5695307_204088100053_R08C01","GSM5695312_204273120074_R06C01","SFA_2","MFA_2","S","U",FALSE,0.207983909565152
"GSM5695307_204088100053_R08C01","GSM5695313_204273120005_R04C01","SFA_2","SFA_3","S","S",FALSE,0.0013438638642566
"GSM5695307_204088100053_R08C01","GSM5695314_204273120073_R02C01","SFA_2","SFA_3","S","U",FALSE,0.0254163689144958
"GSM5695307_204088100053_R08C01","GSM5695315_204273120005_R03C01","SFA_2","MFA_3","S","S",FALSE,0.0307993409358264
"GSM5695307_204088100053_R08C01","GSM5695316_204281260061_R07C01","SFA_2","MFA_3","S","U",FALSE,0.0331542735747967
"GSM5695307_204088100053_R08C01","GSM5695317_204273120073_R07C01","SFA_2","SFA_4","S","S",FALSE,0.19448345319743
"GSM5695307_204088100053_R08C01","GSM5695318_204088100071_R04C01","SFA_2","SFA_4","S","U",FALSE,0.176102750126824
